title,author,tags,date_published,section
"NPDC, petroleum producers unveil COVID-19 laboratory centre in Delta",,"['COVID-19 centre', 'Delta State', 'NPDC']",10 April 2022,News
Many are in abusive relationships with bad govts – Activist,,"['Adeola Soetan', 'bad governance']",10 April 2022,News
Sylva donates N5m to victims of collapsed Yobe mosque,,['Chief Timipre Sylva'],10 April 2022,News
"Nigerians donate expired products to us, orphanage cries out",,"['orphanage', 'orphans']",10 April 2022,News
"Anambra sit-at-home: Soludo won’t bow to criminal elements, APGA vows",,['Charles Soludo'],10 April 2022,News
Tunisians defy riot police to protest against president,,"['Kais Saied', 'Tunisia']",10 April 2022,News
"Electoral Act: Don’t frustrate appeal against judgment, Appeal Court orders AGF, others",,['Appeal Court'],10 April 2022,News
"Osun 2022: Oyetola won’t relax if re-elected, says aide",,['Gov Oyetola'],10 April 2022,News
"2023: Why South-East should produce Nigeria’s president – Doyin Okupe writes APC, PDP",,"['2033', 'election', 'presidency']",10 April 2022,News
Ukraine: Pope calls for ‘Easter ceasefire’,,[],10 April 2022,News
Nigeria’s challenges are signs of greatness – Rep,,"['Almustapha', 'Rep']",10 April 2022,News
Robbers attack Ayefele’s radio station during live broadcast,,"['Ayefele', 'robbers']",10 April 2022,News
"NIN-SIM: Blocking 72 million telephone lines unlawful, SERAP tells Buhari",,"['NIN-SIM', 'SERAP']",10 April 2022,News
Buhari celebrates Aliko Dangote at 65,,[],10 April 2022,News
Australia PM fixes May 21 for federal elections,,['Australia'],10 April 2022,News
"Meet ousted Pakistan PM replacement, Shehbaz Sharif",,"['Imran Khan', 'Pakistan']",10 April 2022,News
Why we haven’t declared bandit leaders wanted –Military,,"['bandits', 'bandits attacks']",10 April 2022,News
Civilians flee as Ukraine prepares for ‘big battles’,,['Russia-Ukraine war'],10 April 2022,News
Ukraine: Finland gears up for historic NATO decision,,"['Finland', 'NATO']",10 April 2022,News
Macron seeks new term in tight French presidential election,,"['France', 'Macron']",10 April 2022,News
"2023: Nigerians’ll be proud if I’m elected president, says Tunde Bakare",,['Tunde Bakare'],10 April 2022,News
I wouldn’t have agitated if Nigeria were like Benin Republic –Igboho,,['Sunday Igboho'],10 April 2022,News
Ex-Generals demand crackdown as terrorists kill over 700 soldiers in 18 months,"
TUNDE AJAJA, SOLOMON ODENIYI, DEBORAH TOLU-KOLAWOLE, BLESSING AFOLABI, EMMANUEL OJO, JAMES ABRAHAM and BOLA BAMIGBOLA ",['Terrorists attacks'],10 April 2022,News
Windstorm destroys properties in Niger,,['windstorm'],10 April 2022,News
"I’ve honest aspiration to succeed Buhari, says Bakare",,"['2023 presidency', 'Pastor Tunde Bakare']",10 April 2022,News
PDP zones governorship seat to Plateau Central,,['2023 PDP zoning'],10 April 2022,News
81-year-old father of MTN CEO installed Ogunsua of Modakeke,,['Ogunsua of Modakeke'],10 April 2022,News
"Presidency: Drop ambition for South-East, Anyim, Obi beg other zones",,"['2023 presidency', 'South-East presidency']",10 April 2022,News
"3,132 aspirants pick PDP forms, party makes N9.24bn",,['2023 elections'],10 April 2022,News
"Drop other charges against Kanu, Ohanaeze urges FG",,['Nnamdi Kanu'],10 April 2022,News
"Nigerians’ve lost confidence in Emefiele, suspended CSOs insist","
DEBORAH TOLUWASE-KOLAWOLE and SOLOMON ODENIYI ",['emefiele'],10 April 2022,News
EFCC angry as court permits Obiano to travel abroad,,"['efcc', 'Obiano']",10 April 2022,News
"Lagos policeman caught smoking weed, IGP orders probe",,['Lagos policemen'],10 April 2022,News
ASUU asks NASS to repeal NITDA Act over poor performance,,"['ASUU', 'NITDA 2007 Act']",10 April 2022,News
"Ex-information minister, Nweke, joins Enugu gov race",,['Enugu 2023'],10 April 2022,News
"Soludo swears in 20 commissioners, says 22,000 applied to serve",,['Soludo'],10 April 2022,News
"FG secretly wooing rights groups to undermine our agitation, IPOB alleges",,['IPOB'],10 April 2022,News
400 CSOs to hold protest against crude oil theft,,['crude oil theft'],10 April 2022,News
Traditional worshippers also deserve public holidays –Falana,,['Traditional worshippers'],10 April 2022,News
"Voter apathy, delay mar Adamawa LG polls",,['LG polls'],10 April 2022,News
I’ll decide on 2023 presidency after Easter – Ngige,,"['2023 presidency', 'Ngige']",10 April 2022,News
Ex-envoy decries injustice in Nigeria,,['injustice'],10 April 2022,News
"Ekiti laments rising cases of rape, sexual violence",,"['rape cases', 'Sexual violence']",10 April 2022,News
"Tinubu, Osinbajo, others no threat to my ambition – Yahaya Bello",,['2023 presidency'],10 April 2022,News
"NERC probes frequent power grid collapse, supply partially restored",,"['national grid collapse', 'NERC']",10 April 2022,News
FG begins assessment-based training for civil servants,,['Civil servants'],10 April 2022,News
"175,000 candidates take mock UTME, test centre delisted",,"['Mock UTME', 'UTME']",10 April 2022,News
Road crashes: 808 FRSC marshals end training in Plateau,,"['FRSC', 'road crashes']",10 April 2022,News
Tinubu felicitates Dangote at 65,,['Dangote'],10 April 2022,News
Train attack: Senator proposes death sentence for masterminds,,['Abuja-Kaduna train attack'],10 April 2022,News
"Nigeria in war situation, says Ortom",,"['insecurity', 'Ortom']",10 April 2022,News
"Secondus sympathises with Jonathan, aides, salutes Mark at 74",,['Goodluck Jonathan'],10 April 2022,News
Teenager drowns in Kano,,['Drowning'],10 April 2022,News
2023: Tunde Bakare joins presidential race,,['Pastor Tunde Bakare'],9 April 2022,News
Oyo: NGO empowers students with digital skills,,"['NGO', 'Youth Empowerment Program']",9 April 2022,News
"11 injured, 302 houses, schools affected as windstorm hits Niger",,"['Niger State', 'windstorm']",9 April 2022,News
"2023: Don’t allow PDP taste power again, Lawan tells Kwara people",,"['Ahmad Lawan', 'Kwara']",9 April 2022,News
"Why governance, institutional capacity must be improved — Osinbajo",,"['Governance', 'Yemi Osinbajo']",9 April 2022,News
Makoko boy gets full scholarship from US varsity chess master,,"['Chess in Slums', 'chess master', 'Makoko', 'MIT']",9 April 2022,News
EPL: Tuchel praises Chelsea spirit after thrashing Southampton 6-0,,"['Chelsea', 'EPL', 'Tuchel']",9 April 2022,News
"2023: Only building alliance can guarantee Igbo presidency, says Ohanaeze chieftain","
Raphael Ede, Enugu ","[']', 'Ohanaeze 2023 presidency']",9 April 2022,News
EFCC challenges court order permitting Obiano to travel abroad,,"['efcc', 'Obiano']",9 April 2022,News
Convoy crash: Jonathan visits injured police officer in hospital,,"['convoy crash', 'Goodluck Jonathan']",9 April 2022,News
"2023: I may lack money, but I’m on mission to serve Nigerians — Banky W","
Stephen Angbulu, Abuja ","['2023 elections', 'Banky W', 'House of Reps']",9 April 2022,News
Bundesliga: Late Lewandowski penalty saves Bayern Munich against Augsburg,,"['Bundesliga', 'Lewandowski']",9 April 2022,News
"Major shake-up hits Nigerian Ports Authority, 20 senior officials affected",,['NPA'],9 April 2022,News
"Buhari not on London medical trip, still in Abuja — aide",,"['Buhari to London', 'Medical trip', 'President Buhari']",9 April 2022,News
Why national grid collapsed — ministry,,"['Ministry of Power', 'national grid collapse']",9 April 2022,News
Introduce spirituality in tertiary education – Don urges FG,,"['Covenant University', 'don', 'tertiary education']",9 April 2022,News
What I’ll do if elected president — Amaechi,"
Dennis Naku, Port Harcourt ","['2023 presidential ambition', 'Rotimi Amaechi']",9 April 2022,News
"2023: Amaechi will win presidential election for APC, says Dakuku Peterside",,"['Dakuku Peterside', 'Rotimi Amaechi']",9 April 2022,News
"Ramadan: Gombe distributes 60,000 bags of sugar, rice, others","
Chima Azubuike ","['Gombe State', 'Ramadan']",9 April 2022,News
Sponsors of atrocities in South-East will be exposed – IPOB,,"['Biafra', 'IPOB', 'Ohanaeze South East']",9 April 2022,News
"National grid: ‘Everything collapsing under Buhari’, Nigerians lament blackout",,"['buhari', 'national grid']",9 April 2022,News
Markaz founder Adam Al-Ilory’s first son is dead,,"['Adam Al-Ilory', 'death', 'Markaz', 'Ramadan']",9 April 2022,News
"APC primary: I’m not scared of Tinubu, Osinbajo, others -Yahaya Bello ",,['2023 presidency'],9 April 2022,News
Amaechi joins 2023 presidential race,,"['Amaechi', 'Rotimi Amaechi']",9 April 2022,News
"Soludo inaugurates 20 commissioners, one adviser ","
Ikenna Obianeri, Awka ","['Anambra State', 'Chukwuma Soludo']",9 April 2022,News
"Gunmen attack Plateau commissioner’s residence, abduct wife, daughter","
James Abraham, Jos ","['gunmen attack', 'Plateau State']",9 April 2022,News
Reunion: Obi Cubana promises 20 classmates N2m each,,['Obi Cubana'],9 April 2022,News
Ukraine: UN condemns deadly attack on train station,,['Russia-Ukraine war'],9 April 2022,News
Ukraine: Latest developments as 52 civilians die in train station bombing,,['Russia-Ukraine war'],9 April 2022,News
"I can’t eat, sleep since my husband was jailed for blasphemy – Wife of Kano atheist",,"['atheist', 'atheist blasphemy', 'Mubarak Bala']",9 April 2022,News
"Ramaphosa, Biden talk after South Africa abstains from UN Russia vote",,"['Biden', 'Cyril Ramaphosa']",9 April 2022,News
NDLEA recruits beg for salary seven months after enlistment,,['NDLEA recruits'],9 April 2022,News
"Gospel singer, Osinachi Nwachukwu, feared dead",,['Gospel singer'],9 April 2022,News
Saudi Arabia to allow one million hajj pilgrims this year -Report,,"['hajj pilgrims', 'Saudi Arabia']",9 April 2022,News
Drug trafficking: Honduras approves extradition of ex-police chief to US,,['drug trafficking'],9 April 2022,News
Ayoku assumes duty as Kaduna’s 40th police commissioner,,['Abuja-Kaduna train attack'],9 April 2022,News
Presidential ticket: How Wike may scuttle PDP govs’ Ghana deal,,"['2023 PDP zoning', '2023 presidency', 'Wike']",9 April 2022,News
"SSANU, NASU ignore FG’s threat, extend warning strike",,"['NASU', 'SSANU']",9 April 2022,News
"Presidency: Amaechi set to declare interest, Rivers APC holds thanksgiving service","
Tofarati Ige and Dennis Naku ",['2023 presidency'],9 April 2022,News
"APC congresses: Adamu reverses Buni’s decisions, directs withdrawal of court cases",,['APC congresses'],9 April 2022,News
"Train attack: Security agencies negotiating with terrorists on abductees, says NRC",,['Abuja-Kaduna train attack'],9 April 2022,News
"Russia-Ukraine: Fleeing Nigerians held in Poland detention were warned, says Dabiri-Erewa",,['Russian-Ukraine war'],9 April 2022,News
"Osinbajo links poverty to corruption, weak institutions",,"['corruption', 'Osinbajo', 'poverty']",9 April 2022,News
"Gunmen attack military checkpoint in Abia, set van ablaze",,['gunmen attack'],9 April 2022,News
ITF empowers 100 Ogun indigenes,,['empowerment'],9 April 2022,News
"Lassa fever: Only eight laboratories available for testing, death toll hits 132",,['Lassa fever'],9 April 2022,News
"Akeredolu’s wife eyes Senate, assures Imo East of devt",,"['2023 elections', 'Betty Akeredolu']",9 April 2022,News
"Remove dead persons from voter register now, HURIWA urges INEC",,['voter register'],9 April 2022,News
"Kanu’s trial resumes in Abuja, Imo, Abia streets, markets deserted","
Deborah Tolu-Kolawole, Gibson Achonu, Chidiebube Okeoma and Ogbonnaya Ikokwu ",['Nnamdi Kanu'],9 April 2022,News
Kogi pensioners groan over selective payment,,['pensioners'],9 April 2022,News
Court restrains Ondo from demolishing structures in trade fair complex,,['Ondo demolition'],9 April 2022,News
Nigerians must challenge leaders over public funds –Peter Obi,,"['Nigerians leaders', 'Peter Obi', 'public funds']",9 April 2022,News
"Gombe employs 1,000 additional teachers",,['Gombe teachers'],9 April 2022,News
"2023: Corrupt politicians’ll go to jail, says Igini",,"['2023 elections', 'corrupt politicians']",9 April 2022,News
CITN asks FG to implement tax policies,,"['CITN', 'tax policies']",9 April 2022,News
"Ekiti, Osun, litmus test for 2023 polls – CSOs",,"['2023 elections', 'Ekiti 2022', 'Osun 2022']",9 April 2022,News
"Resign now if you want to contest, Abia tells appointees",,['2023 elections'],9 April 2022,News
"NSCDC parades six for phone theft, others in Kogi",,"['NSCDC', 'phone theft']",9 April 2022,News
"Tackle terrorism with regional security, Afenifere tells North-West govs",,"['terrorism', 'Terrorists attacks']",9 April 2022,News
Nigeria’s situation not hopeless – Mimiko,,"['mimiko', 'Nigeria crisis']",9 April 2022,News
"NECA holds job fair, expresses worries over high unemployment rate",,"['job fair', 'NECA', 'Unemployment']",9 April 2022,News
Huawei spends $700m on procurement in Nigeria,,['Huawei'],9 April 2022,News
"Court declines to compel IG to probe conspiracy, false information case",,['IGP'],9 April 2022,News
Academy signs MoU with NESP,,['NESP'],9 April 2022,News
Ukraine: 52 die in train station bombing,,['Russia-Ukraine war'],8 April 2022,News
"Bauchi gov gifts district heads, council chairmen exotic cars",,['Bala Mohammed'],8 April 2022,News
"Buhari approves Police Academy, Wudil, as degree-awarding institution",,['buhari'],8 April 2022,News
"2023: Put politicians on toes, Yahaya Bello urges media",,['Gov. Yahaya Bello'],8 April 2022,News
LG poll: Edo electoral commission suspends conduct of election,"
Adeyinka Adedipe, Benin ",['Edo LG poll'],8 April 2022,News
"Ukraine invasion: EU blacklists Putin’s daughters, 214 others ",,"['Putin', 'Russian-Ukraine war']",8 April 2022,News
"FG offers N233m grants, endowments to promote ICT research",,[],8 April 2022,News
"Bandits raid Niger community, kill three, abduct others",,"['bandits', 'Niger State']",8 April 2022,News
"8.4 million Nigerians need humanitarian assistance in Borno, others — UN","
Kayode Idowu, Maiduguri ","['Borno state', 'food insecurity', 'humanitarian assistance', 'Northeast', 'UN']",8 April 2022,News
"Contract talks with Liverpool ‘sensitive’, says Salah",,"['Liverpool', 'Salah']",8 April 2022,News
Sunday Igboho meets legal team in Benin Republic,,"['Benin Republic', 'Sunday Igboho']",8 April 2022,News
NASA launches first private mission to International Space Station,,[],8 April 2022,News
Buhari commiserates with Jonathan over road crash,,"['Goodluck Jonathan', 'Road Crash']",8 April 2022,News
Why I’m contesting Imo East senatorial seat – Akeredolu’s wife,,['Betty Anyanwu-Akeredolu'],8 April 2022,News
Nigeria must invest in teachers to achieve SDGs -UNICEF,,[],8 April 2022,News
"Bauchi gov knocks FG, says Nigeria’s insecurity unacceptable",,"['Bauchi', 'FG']",8 April 2022,News
Ukraine: Latest developments you need to know,,[],8 April 2022,News
Soludo visits burnt Aguata secretariat,,"['Anambra Governor', 'Chukwuma Soludo']",8 April 2022,News
"Terrorism charge: Umuahia, Aba empty as Kanu appears in court",,"['IPOB', 'Nnamdi Kanu']",8 April 2022,News
"NNL: Insurance win, maintain second spot",,"['Bendel Insurance', 'NNL']",11 April 2022,Sports
NPFL Roundup: Enyimba’s Mbaoma wrecks Rangers in Oriental Derby,,"['NPFL', 'NPFL RoundUp']",11 April 2022,Sports
It’s the Osimhen show again!,"
JOHNNY EDWARD and KELVIN EKERETE ",['Osimhen'],11 April 2022,Sports
"EPL table, top scorers after Sunday’s matches",,['EPL'],11 April 2022,Sports
"La Liga: Aubameyang, De Jong score as Barcelona defeat Levante",,"['Aubameyang', 'Barcelona', 'De Jong', 'La Liga']",10 April 2022,Sports
"Serie A: AC Milan draw, Napoli lose, Roma sink Salernitana",,"['AC Milan', 'Napoli', 'Serie A']",10 April 2022,Sports
"EPL: West Ham suffer top four blow, Leicester beat Palace 2-1",,"['EPL', 'Leicester', 'West Ham']",10 April 2022,Sports
Ligue 1: Bordeaux beat Metz to boost survival hopes,,"['Bordeaux', 'Ligue 1']",10 April 2022,Sports
EPL: Man City retain title advantage after Liverpool draw,,"['EPL', 'Liverpool', 'Man City']",10 April 2022,Sports
Everton vs Man United: Police investigate Ronaldo over ‘assault’ allegation,,['Cristiano Ronaldo'],10 April 2022,Sports
"Man City vs Liverpool: Five things to know as Guardiola, Klopp renew rivalry",,"['Guardiola', 'Klopp', 'Man City vs Liverpool']",10 April 2022,Sports
"Everton vs Man United: Ronaldo knocks phone off supporter’s hands, apologises",,"['Everton vs Man United', 'Ronaldo']",10 April 2022,Sports
Osimhen set to surpass Martins Serie A record,,"['Osimhen', 'Serie A']",10 April 2022,Sports
"You need variety in finishing, Rodgers tells Iheanacho",,['Iheanacho'],10 April 2022,Sports
"We could have whipped Falcons 8-0, Sinclair boasts",,['Super Falcons'],10 April 2022,Sports
Everton can rely on Iwobi – Lampard,,"['Everton', 'Iwobi']",10 April 2022,Sports
"NBBF, ministry relationship getting better – Ahmadu-Kida",,['NBBF'],10 April 2022,Sports
Onyeka ruled out of West Ham clash,,"['Onyeka', 'West Ham']",10 April 2022,Sports
Why young talents must replace aging athletes – Sports minister,,['Athletes Sunday Dare'],9 April 2022,Sports
"Mbappe, Neymar score hat-tricks as PSG thrash Clermont 6-1",,"['Kylain Mbappe', 'Neymar', 'PSG']",9 April 2022,Sports
"EPL: Tottenham tighten grip on top spot as Arsenal, Man Utd lose",,"['Arsenal', 'EPL Tottenham', 'Man United']",9 April 2022,Sports
Arsenal vs Brighton: Gunners’ top-four hopes hit by Brighton defeat,,"['Arsenal', 'Brighton']",9 April 2022,Sports
"Southampton vs Chelsea: Mount, Werner score twice as Blues win 6-0",,['Southampton vs Chelsea'],9 April 2022,Sports
Everton vs Man United: Iwobi shines as Everton beat United 1-0 to boost survival hopes,,['Everton'],9 April 2022,Sports
"Anthony Joshua, Usyk rematch may be staged in UK -Promoter",,"['Anthony Joshua', 'Usyk']",9 April 2022,Sports
"Everton vs Man United: Rangnick makes six changes, Iwobi starts for Everton",,"['Everton vs Man United', 'Rangnick']",9 April 2022,Sports
Friendly: Dominant Canada beat Super Falcons 2-0,,"['canada', 'nigeria']",9 April 2022,Sports
EPL table before weekend matches,,['EPL table'],9 April 2022,Sports
Buhari redeems 28-year FG vow to ‘94 Eagles,,['1994 Eagles'],9 April 2022,Sports
Under pressure Pinnick dumps third term ambition,,"['NFF', 'Pinnick']",9 April 2022,Sports
Ademodi: 12-year-old female boxer riding on male opponents to glory,,['female boxer'],9 April 2022,Sports
My dream was to be a basketball player – Omobaba,,"['basketball players', 'Omobaba']",9 April 2022,Sports
George declares for 2022 NBA draft,,['basketball players'],9 April 2022,Sports
Awoniyi eyes third goal against Hertha in derby,,['Taiwo Awoniyi'],9 April 2022,Sports
Everton need consistency to avoid relegation – Iwobi,,"['Everton', 'Iwobi']",9 April 2022,Sports
2023 AFCON qualifiers: Eagles know foes April 19,,['Super Eagles'],9 April 2022,Sports
Sevilla beat Granada 4-2 to go second in La Liga,,"['Barcelona', 'Sevilla']",8 April 2022,Sports
12 players: Bayern win at Freiburg stands despite subs mix-up,,"['Bayern Munich', 'Freiburg']",8 April 2022,Sports
British cycling halts transgender participation policy,,"['cycling', 'transgender athletes']",8 April 2022,Sports
"EPL fixtures: Liverpool, Man City brace for showdown, Man United battle Everton",,"['EPL', 'Liverpool', 'Man City']",8 April 2022,Sports
NPFL defenders don’t scare me – 15-year-old Nasarawa forward,,['NPFL'],8 April 2022,Sports
Reactions as NFF begins search for new Eagles coach,,"['Eagles coach', 'NFF']",8 April 2022,Sports
"Sack Lampard now, Anichebe tells Everton",,"['Anichebe', 'Everton', 'Lampard']",8 April 2022,Sports
I’ll wear my tattoos for life –Troost-Ekong,,['Troost-Ekong'],8 April 2022,Sports
Who’s Eagles next coach?,,['Eagles coach'],8 April 2022,Sports
Bridge builds leadership skills in pupils,,['leadership skills'],8 April 2022,Sports
Europa League: Torres equaliser rescues Barcelona at Frankfurt,,['Barcelona'],7 April 2022,Sports
Oshoala reacts to planned removal as Super Falcons captain,,"['Oshoala', 'Super Falcons']",7 April 2022,Sports
"Ukraine: Boston Marathon bars Russian, Belarusian runners",,"['Boston Marathon', 'Ukraine']",7 April 2022,Sports
Man United set to appoint Ajax’s Ten Hag new coach -Report,,"['coach', 'Man United', 'Ten Hag']",7 April 2022,Sports
Aribo seeks end to Europa League goal drought,,['Aribo'],7 April 2022,Sports
"Osimhen injured, doubtful for Fiorentina clash",,['Osimhen'],7 April 2022,Sports
Troost-Ekong set for LA Galaxy move,,['Troost-Ekong'],7 April 2022,Sports
"NPFL: Rivers, Plateau hoping to extend lead",,['NPFL'],7 April 2022,Sports
Huesca threatens legal action against Nwakali over comments,,['Nwakali'],7 April 2022,Sports
"Dessers, Olayinka clash in Conference League",,"['Conference League', 'Dessers']",7 April 2022,Sports
"UCL: Bayern ‘deserved’ to lose, says Nagelsmann",,"['Bayern Munich', 'Julian Nagelsmann', 'Villareal']",6 April 2022,Sports
"Champions League: No chance against Real Madrid, Chelsea’s manager admits",,"['Chelsea', 'Real Madrid', 'Thomas Tuchel']",6 April 2022,Sports
"Sports have power to foster peace, global unity — UNHCR",,"['sports', 'UNHCR']",6 April 2022,Sports
EPL table after Wednesday’s match,,['EPL'],6 April 2022,Sports
Why my contract was terminated by Huesca -Nwakali,"
Enitan Daramola ","['Huesca', 'Nwakali']",6 April 2022,Sports
EPL: Burnley fight back to defeat Iwobi’s Everton,,"['Burnley', 'Everton']",6 April 2022,Sports
Champions League: Bayern Munich suffer shock defeat against Villarreal,,"['Bayern Munich', 'Champions League', 'Villarreal']",6 April 2022,Sports
UCL: Benzema hat-trick as Real Madrid beat Chelsea 3-1 at Stamford Bridge,,"['Chelsea', 'Karim Benzema', 'Real Madrid']",6 April 2022,Sports
"Bicycle kick: You can’t tell me what to do, Osimhen replies Ikpeba",,"['Victor Ikpeba', 'Victor Osimhen']",6 April 2022,Sports
No plan for 100-minute World Cup games – FIFA,,"['FIFA', 'World Cup']",6 April 2022,Sports
Maradona’s World Cup ‘hand of God’ jersey to be auctioned,,"['Maradona', 'World Cup']",6 April 2022,Sports
Koeman to take over as Netherlands coach after World Cup,,"['Netherlands', 'World Cup']",6 April 2022,Sports
NFF begins search for new Super Eagles coaches,,"['NFF', 'Super Eagles']",6 April 2022,Sports
Napoli raise Osimhen price tag to €120m,,['Osimhen'],6 April 2022,Sports
NFF begins search for new Eagles coach,,"['Eagles coach', 'NFF', 'Super Eagles']",6 April 2022,Sports
Eguavoen was not in charge of Eagles –Udeze,,"['Eguavoen', 'Super Eagles']",6 April 2022,Sports
Okubule fell ill after 80th birthday –Daughter of late ref,,[],6 April 2022,Sports
Simon selected for Marc-Vivien Foé award,,['moses simon'],6 April 2022,Sports
Eagles in search of glory after Qatar 2022 misery,,[],6 April 2022,Sports
ITTF rankings: Aruna returns to Top 12,,"['Aruna Quadri', 'ITTF rankings']",6 April 2022,Sports
"Struggling Akwa eye Pillars scalp, Warriors host Enyimba",,"['Akwa United', 'NPFL']",6 April 2022,Sports
"My dream as a rugby, football player –Obadan",,['Rugby'],6 April 2022,Sports
Huesca terminate Nwakali’s contract,,[],6 April 2022,Sports
Iwuala nominated for CAF award,,[],6 April 2022,Sports
NFF begins search for Eguavoen replacement,,[],6 April 2022,Sports
"Liverpool closer to Champions League semis, beat Benfica 3-1",,"['Benfica', 'Champions League', 'Liverpool', 'semis']",5 April 2022,Sports
UCL: De Bruyne scores as Man City beat stubborn Atletico 1-0,,"['Atletico Madrid', 'Man City']",5 April 2022,Sports
Nigeria’s first FIFA-badge ref Okubule dies at 80,,[],5 April 2022,Sports
Alphonso Davies returns to Bayern after COVID-19-related heart problem,,"['Alphonso Davies', 'Bayern Munich']",5 April 2022,Sports
Real Madrid vs Chelsea: Courtois dreams of winning Champions League,,"['Champions League', 'Real Madrid vs Chelsea']",5 April 2022,Sports
I want to coach Eagles again – Eguavoen,,"['Eguavoen', 'Super Eagles']",5 April 2022,Sports
"World Cup howler: It’s worst time of my life, says Uzoho",,"['Super Eagles', 'Uzoho']",5 April 2022,Sports
Champions League: Ancelotti in spotlight as Real Madrid take on Chelsea,,['Carlo Ancelotti'],5 April 2022,Sports
"Osimhen, Balogun standout in miserable March",,"['Osimhen', 'Super Eagles']",5 April 2022,Sports
Emery sweats over Chukwueze fitness for Bayern clash,,['Chukwueze'],5 April 2022,Sports
Hat-trick hero Onuachu eyes 20th league goal,,['Onuachu'],5 April 2022,Sports
Finidi smiles again as Enyimba return to winning ways,,"['Enyimba', 'Finidi George', 'NPFL']",5 April 2022,Sports
Ogunbote laments Remo’s ‘silly errors’,,"['NPFL', 'Ogunbote', 'Remo Stars']",5 April 2022,Sports
Agoye blames ref for Shooting Stars’ defeat,,"['NPFL', 'Shooting Stars']",5 April 2022,Sports
"Heineken brings Seedorf, UCL Trophy to Abuja, Lagos",,"['Heineken', 'UCL']",5 April 2022,Sports
Union ready to sell Awoniyi for €30m,,"['Awoniyi Union Berlin', 'Taiwo Awoniyi']",5 April 2022,Sports
Achina community wins Aguata football tourney,,['football tourney'],5 April 2022,Sports
Arsenal’s top four bid suffers setback after 3-0 defeat to Crystal Palace,,['Arsenal'],4 April 2022,Sports
"Man City vs Atletico: I won’t reveal City’s tactics, says Guardiola",,"['Guardiola', 'Man City vs Atletico']",4 April 2022,Sports
Champions League: Injured Gimenez to miss Man City vs Atletico Madrid,,"['Atletico Madrid', 'Man City']",4 April 2022,Sports
WTA ranking: Swiatek becomes number one after Miami win,,"['Miami Open', 'Swiatek', 'WTA ranking']",4 April 2022,Sports
"Ex-Man United boss, Louis van Gaal battles prostate cancer",,"['Louis van Gaal', 'Man United']",4 April 2022,Sports
Awoniyi now Union’s top scorer ever in Bundesliga,"
JOHNNY EDWARD and KELVIN EKERETE ","['Awoniyi Union Berlin', 'Taiwo Awoniyi']",4 April 2022,Sports
Napoli: We won’t fine Osimhen for late coming,,['Osimhen'],4 April 2022,Sports
Iheanacho eyes more goals against United,,"['Iheanacho', 'Mau United']",4 April 2022,Sports
